Game_Name,Total_Runs,World_record_time,World_record_age,World_record_margin,Casual_Completion,Glitches_possible,Platform,Category,Active_Runners,RNG
Super Mario 64,52653,00:14:35,1153,00:00:01,12,Yes,N64,Platformer,384,No RNG
Celeste,50501,00:24:48,39,00:00:15,8.5,No,PC,Platformer,419,No RNG
Super Mario Odyssey,22934,00:55:13,304,00:00:05,12.5,Yes,Switch2,Platformer,172,No RNG
Getting over it with Bennett Foddy,15086,00:00:58,340,00:00:01,6,No,PC,Platformer,140,No RNG
Spongebob Squarepants: Battle for Bikini Bottom,14817,00:40:37,241,00:01:55,10,Yes,Xbox,Platformer,29,No RNG
Super Metroid,13932,00:40:22,472,00:00:14,7.5,Yes,SNES,Platformer,65,No RNG
Hollow Knight,13099,00:30:49,376,00:00:04,27,Yes,PC,Platformer,163,No RNG
Super Mario World,11247,00:32:18,247,00:00:02,5,Yes,SNES,Platformer,28,No RNG
Sonic Adventure 2: Battle,11190,00:20:53,1296,00:00:05,9,Yes,PC,Platformer,47,No RNG
Mighty guy 3,2,00:02:08,1571,00:00:10,,No,PC,Platformer,0,No RNG
Hades,8751,00:05:04,1139,00:00:12,23.5,No,PC,Role-Playing Game,18,High RNG
Undertale,8039,01:02:43,22,00:00:10,7,No,Linux,Role-Playing Game,90,High RNG
Deltarune,7842,00:25:38,112,00:00:04,3,No,PC,Role-Playing Game,58,Low RNG
Monster Hunter: World,4372,01:27:15,2582,00:03:14,46.5,Yes,PS4Pro,Role-Playing Game,0,High RNG
Hades 2,3324,00:03:54,185,00:00:08,30.5,No,PC,Role-Playing Game,86,High RNG
Dark Souls III,3094,00:24:57,308,00:00:49,31,Yes,PC,Role-Playing Game,31,Low RNG
The Escapists 2,3027,00:13:00,168,00:00:04,17,Yes,PC,Role-Playing Game,17,High RNG
Kingdom Hearts Final Mix,2840,02:08:12,277,00:00:40,24,Yes,PS5,Role-Playing Game,15,High RNG
Genshin Impact,2821,00:16:31,147,00:00:25,300,Yes,PC,Role-Playing Game,38,High RNG
"Barkley, Shut Up and Jam: Gaiden",13,00:37:37,1612,00:00:51,5,No,PC,Role-Playing Game,0,High RNG
ULTRAKILL,42135,00:02:44,495,00:00:03,6.5,Yes,,First Person Shooter,898,No RNG
Neon white,7817,00:28:58,33,00:00:22,10.5,Yes,PC,First Person Shooter,77,No RNG
Doom,7047,00:04:38,1063,00:00:06,5,Yes,PC,First Person Shooter,6,Low RNG
Call of Duty: Black Ops III Zombies,6891,00:25:42,236,00:00:12,,Yes,PC,First Person Shooter,100,High RNG
Titanfall 2,5966,01:12:37,102,00:00:05,6,Yes,PC,First Person Shooter,46,No RNG
Call of Duty: Modern Warfare 2,4341,01:19:21,80,00:00:41,6.5,Yes,PC,First Person Shooter,33,High RNG
Half-Life,4283,00:25:48,256,00:00:05,12,Yes,PC,First Person Shooter,39,No RNG
Destiny,4169,00:13:20,452,00:00:05,12,Yes,PS5,First Person Shooter,40,High RNG
Call of Duty: Black Ops Cold War Zombies,4021,00:19:49,5,00:00:26,,Yes,PC,First Person Shooter,10,High RNG
Post void,456,00:03:46,479,00:00:01,,No,PC,First Person Shooter,7,High RNG
